"ID","name"
"CL:0000548","Non-Neuronal"
"CL:0000127","Astro"
"CL:0000127","Astro L1 FGFR3 SERPINI2"
"CL:0000127","Astro_1"
"CL:0000548","Non-Neuronal"
"CL:0000127","Astro"
"CL:0000127","Astro L1-6 FGFR3 AQP1"
"CL:0000127","Astro_1"
"CL:0000548","Non-Neuronal"
"CL:0000127","Astro"
"CL:0000127","Astro L1-6 FGFR3 PLCG1"
"CL:0000127","Astro_2"
"CL:0000617","GABAergic"
"CL:0000617","Pvalb"
"CL:0000617","Inh L1-6 PVALB COL15A1"
"CL:0000617","Chandelier"
"CL:0000548","Non-Neuronal"
"CL:0000115","Endo"
"CL:0000115","Endo L2-5 NOSTRIN SRGN"
"CL:0000115","Endo"
"CL:0000548","Non-Neuronal"
"CL:0000128","Oligo"
"CL:0000128","Oligo L2-6 OPALIN MAP6D1"
NA,"exclude"
"CL:0000548","Non-Neuronal"
"CL:0000128","Oligo"
"CL:0000128","Oligo L3-6 OPALIN LRP4-AS1"
NA,"exclude"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L2 LAMP5 KCNG3"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L2 LINC00507 ATP7B"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L2 LINC00507 GLRA3"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L2-3 LINC00507 DSG3"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L2-3 RORB RTKN2"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L2/3 IT"
"CL:0000679","Exc L3 LAMP5 CARM1P1"
"CL:0000679","L2/3 IT"
"CL:0000679","Glutamatergic"
"CL:0000679","L5 ET"
"CL:0000679","Exc L3-5 FEZF2 ASGR2"
"CL:0000679","L5 ET_1"
"CL:0000679","Glutamatergic"
"CL:0000679","L5 ET"
"CL:0000679","Exc L5 FEZF2 CSN1S1"
"CL:0000679","L5 ET_1"
"CL:0000679","Glutamatergic"
"CL:0000679","L5 ET"
"CL:0000679","Exc L3-5 FEZF2 LINC01107"
"CL:0000679","L5 ET_2"
